Date,Open,High,Low,Close,Change,% Chg,Volume,Day VWAP,IV30,% Chg,Volume,% Call,% Put, 
6-Dec-17,42.17,42.68,42.04,42.47,0.28,0.70%,"156,240",42.43,28.9,0.90%,32,53.10%,46.90%,
5-Dec-17,42.45,42.57,41.77,42.19,0.02,0.00%,"225,865",42.18,28.7,-3.00%,115,100.00%,0.00%,
4-Dec-17,42,42.49,41.55,42.17,1.01,2.50%,"268,565",42.2,29.6,4.00%,120,98.30%,1.70%,
1-Dec-17,41.5,41.5,39.79,41.16,-0.42,-1.00%,"196,026",40.92,28.5,0.80%,1,100.00%,0.00%,
30-Nov-17,41.55,41.9,41.24,41.58,0.21,0.50%,"104,221",41.49,28.2,0.70%,51,0.00%,100.00%,
29-Nov-17,41.52,41.76,40.92,41.37,-0.08,-0.20%,"103,366",41.3,28,3.50%,6,16.70%,83.30%,
28-Nov-17,40.93,41.54,40.62,41.45,0.67,1.60%,"120,582",41.27,27.1,0.20%,183,100.00%,0.00%,
27-Nov-17,40.73,41.01,40.41,40.78,0.08,0.20%,"239,359",40.79,27,0.90%,17,23.50%,76.50%,
24-Nov-17,40.63,40.91,40.38,40.7,0.11,0.30%,"38,531",40.59,26.8,1.10%,0,0.00%,0.00%,
22-Nov-17,40.69,40.91,40.5,40.59,-0.04,-0.10%,"78,132",40.67,26.5,1.30%,0,0.00%,0.00%,
21-Nov-17,40.21,40.82,40.21,40.63,0.64,1.60%,"169,291",40.62,26.2,1.00%,21,100.00%,0.00%,
20-Nov-17,39.83,40.13,39.47,39.99,0.31,0.80%,"218,242",39.85,25.9,-4.10%,184,17.90%,82.10%,
17-Nov-17,39.75,39.94,39.41,39.68,-0.29,-0.70%,"374,023",39.71,27,0.90%,19,100.00%,0.00%,
16-Nov-17,39.45,40.17,39.43,39.97,0.53,1.30%,"147,646",39.86,26.8,-3.30%,30,66.70%,33.30%,
15-Nov-17,39.74,39.81,39.3,39.44,-0.49,-1.20%,"266,575",39.54,27.7,2.10%,22,95.50%,4.50%,
14-Nov-17,39.81,40.03,39.55,39.93,-0.15,-0.40%,"153,905",39.83,27.1,1.10%,33,100.00%,0.00%,
13-Nov-17,39.86,40.41,39.7,40.08,-0.03,-0.10%,"266,516",40.08,26.8,-1.60%,128,99.20%,0.80%,
10-Nov-17,40.26,40.42,39.88,40.11,-0.26,-0.60%,"170,025",40.15,27.3,0.90%,3,66.70%,33.30%,
9-Nov-17,40.52,40.92,40.24,40.37,-0.25,-0.60%,"308,441",40.47,27,5.90%,10,70.00%,30.00%,
8-Nov-17,40.59,40.99,40.17,40.62,0.04,0.10%,"221,733",40.55,25.5,-0.60%,34,58.80%,41.20%,
7-Nov-17,40.34,40.66,39.96,40.58,0.17,0.40%,"295,251",40.47,25.7,0.80%,98,100.00%,0.00%,
6-Nov-17,40.3,40.58,40.2,40.41,0.01,0.00%,"138,575",40.44,25.5,-1.40%,20,100.00%,0.00%,
3-Nov-17,41.48,41.48,40.37,40.4,-0.92,-2.20%,"238,429",40.95,25.8,-2.90%,27,100.00%,0.00%,
2-Nov-17,41.04,41.49,40.16,41.32,0.26,0.60%,"252,723",40.92,26.6,-1.70%,53,94.30%,5.70%,
1-Nov-17,39,41.94,39,41.06,2.17,5.60%,"401,308",41.19,27.1,-0.10%,282,100.00%,0.00%,
31-Oct-17,38.93,39,38.51,38.89,0.13,0.30%,"174,639",38.8,27.1,-4.00%,26,100.00%,0.00%,
30-Oct-17,38.44,38.93,38.03,38.76,0.15,0.40%,"245,641",38.54,28.2,-1.50%,141,100.00%,0.00%,
27-Oct-17,38.67,38.95,38.34,38.61,-0.06,-0.20%,"114,776",38.67,28.7,3.50%,101,79.20%,20.80%,
26-Oct-17,38.91,39.17,38.47,38.67,-0.03,-0.10%,"115,068",38.75,27.7,0.00%,56,62.50%,37.50%,
25-Oct-17,38.8,39.03,38.54,38.7,-0.1,-0.30%,"107,501",38.76,27.7,0.70%,6,100.00%,0.00%,
24-Oct-17,38.78,38.94,38.49,38.8,0.15,0.40%,"150,171",38.78,27.5,1.10%,76,22.40%,77.60%,
23-Oct-17,38.75,38.9,38.52,38.65,-0.11,-0.30%,"205,353",38.69,27.2,-2.60%,284,99.60%,0.40%,
20-Oct-17,38.71,38.76,38.51,38.76,0.35,0.90%,"140,310",38.68,27.9,-0.80%,143,97.90%,2.10%,
19-Oct-17,38.43,38.48,38.01,38.48,-0.21,-0.50%,"83,632",38.33,28.2,2.80%,21,52.40%,47.60%,
18-Oct-17,38.41,38.72,38.23,38.61,0.37,1.00%,"96,792",38.6,27.4,-1.50%,11,63.60%,36.40%,
17-Oct-17,38.27,38.41,38.11,38.24,-0.15,-0.40%,"73,378",38.23,27.8,-0.50%,14,78.60%,21.40%,
16-Oct-17,38.67,38.8,38.15,38.39,-0.11,-0.30%,"103,511",38.35,27.9,3.90%,7,100.00%,0.00%,
13-Oct-17,38.72,38.78,38.4,38.5,-0.09,-0.20%,"300,798",38.57,26.9,1.40%,12,100.00%,0.00%,
12-Oct-17,38.26,38.73,38.22,38.59,0.16,0.40%,"185,459",38.6,26.5,-1.30%,161,100.00%,0.00%,
11-Oct-17,38.6,38.72,37.78,38.43,-0.27,-0.70%,"209,222",38.36,26.9,2.20%,85,100.00%,0.00%,
10-Oct-17,39.2,39.2,38.51,38.7,-0.16,-0.40%,"312,755",38.65,26.3,-0.20%,176,100.00%,0.00%,
9-Oct-17,39.07,39.56,38.78,38.86,0.01,0.00%,"166,868",38.96,26.3,-6.20%,20,100.00%,0.00%,
6-Oct-17,39.03,39.17,38.74,38.85,-0.21,-0.50%,"117,525",38.91,28.1,4.60%,36,72.20%,27.80%,
5-Oct-17,39.22,39.71,38.98,39.06,-0.12,-0.30%,"159,569",39.21,26.8,-0.90%,25,84.00%,16.00%,
4-Oct-17,39.15,39.34,38.8,39.18,0.05,0.10%,"126,411",39.12,27.1,0.80%,3,100.00%,0.00%,
3-Oct-17,38.6,39.13,38.3,39.13,0.58,1.50%,"211,741",38.8,26.9,-4.70%,31,25.80%,74.20%,
2-Oct-17,37.9,38.61,37.76,38.55,0.77,2.00%,"323,379",38.32,28.2,-1.00%,14,100.00%,0.00%,
29-Sep-17,37.83,38.25,37.73,37.78,0,0.00%,"172,268",37.95,28.5,-2.30%,24,100.00%,0.00%,
28-Sep-17,37.85,38.09,37.41,37.78,-0.29,-0.80%,"212,439",37.78,29.2,3.80%,4,100.00%,0.00%,
27-Sep-17,37.28,38.17,37.14,38.07,1.09,2.90%,"225,283",37.87,28.1,-0.80%,36,100.00%,0.00%,
26-Sep-17,37.22,37.22,36.74,36.98,-0.04,-0.10%,"160,902",36.91,28.3,0.00%,15,100.00%,0.00%,
25-Sep-17,36.99,37.21,36.83,37.02,0.08,0.20%,"389,338",36.99,28.3,-1.10%,14,100.00%,0.00%,
22-Sep-17,37.57,37.67,36.87,36.94,-0.62,-1.70%,"333,536",37.04,28.6,-1.10%,43,27.90%,72.10%,
21-Sep-17,38.74,38.75,37.55,37.56,-1.32,-3.40%,"308,063",38.05,29,1.90%,180,93.90%,6.10%,
20-Sep-17,37.78,39.31,37.1,38.88,1.17,3.10%,"486,754",38.7,28.4,-24.40%,818,96.90%,3.10%,
19-Sep-17,36.66,37.72,36.44,37.71,1.16,3.20%,"413,746",37.23,37.6,16.80%,390,79.70%,20.30%,
18-Sep-17,35.37,36.74,35.37,36.55,1.29,3.70%,"293,519",36.42,32.2,-3.20%,100,85.00%,15.00%,
15-Sep-17,35.25,35.33,34.93,35.26,-0.09,-0.30%,"581,199",35.21,33.2,-1.70%,33,39.40%,60.60%,
14-Sep-17,35.03,35.54,35.03,35.35,0.1,0.30%,"387,495",35.33,33.8,4.20%,142,79.60%,20.40%,
13-Sep-17,35.32,35.53,35.14,35.25,-0.16,-0.50%,"273,760",35.32,32.4,-0.40%,106,100.00%,0.00%,
12-Sep-17,35.31,35.58,35.17,35.41,0.15,0.40%,"211,162",35.35,32.6,4.00%,15,100.00%,0.00%,
11-Sep-17,34.88,35.54,34.88,35.26,0.72,2.10%,"166,652",35.27,31.3,0.50%,6,100.00%,0.00%,
8-Sep-17,34.49,34.97,34.25,34.54,-0.03,-0.10%,"114,367",34.62,31.1,-1.80%,16,100.00%,0.00%,
7-Sep-17,35.16,35.16,34.27,34.57,-0.5,-1.40%,"224,819",34.49,31.7,3.10%,22,72.70%,27.30%,
6-Sep-17,35.98,35.98,34.8,35.07,-0.79,-2.20%,"193,185",35.04,30.8,3.00%,41,87.80%,12.20%,
5-Sep-17,36.14,36.34,35.73,35.86,-0.39,-1.10%,"123,095",35.9,29.9,0.40%,53,88.70%,11.30%,
1-Sep-17,36.14,36.29,35.98,36.25,0.19,0.50%,"180,171",36.11,29.7,2.10%,20,80.00%,20.00%,
31-Aug-17,36.25,36.25,35.74,36.06,0.01,0.00%,"130,206",36.06,29.1,-2.70%,13,100.00%,0.00%,
30-Aug-17,35.57,36.17,35.51,36.05,0.51,1.40%,"147,948",35.84,29.9,6.90%,71,97.20%,2.80%,
29-Aug-17,35.13,35.71,35.02,35.54,0.18,0.50%,"202,693",35.39,28,3.20%,235,97.90%,2.10%,
28-Aug-17,35.68,35.75,35.24,35.36,-0.18,-0.50%,"98,372",35.35,27.1,1.20%,5,100.00%,0.00%,
25-Aug-17,35.51,35.78,35.3,35.54,0.23,0.70%,"75,244",35.49,26.8,-1.90%,17,94.10%,5.90%,
24-Aug-17,35.22,35.49,35.08,35.31,0.18,0.50%,"43,524",35.26,27.4,-1.20%,29,100.00%,0.00%,
23-Aug-17,35.5,35.71,35.12,35.13,-0.58,-1.60%,"69,846",35.29,27.7,8.80%,2,100.00%,0.00%,
22-Aug-17,35.63,35.88,35.6,35.71,0.28,0.80%,"61,619",35.74,25.5,-3.80%,10,100.00%,0.00%,
21-Aug-17,35.17,35.53,35.07,35.43,0.2,0.60%,"97,788",35.38,26.5,0.10%,27,70.40%,29.60%,
18-Aug-17,34.95,35.49,34.33,35.23,0.05,0.10%,"85,669",35.26,26.4,3.40%,116,100.00%,0.00%,
17-Aug-17,35.77,35.92,35.17,35.18,-0.73,-2.00%,"82,883",35.46,25.6,5.50%,19,100.00%,0.00%,
16-Aug-17,36.08,36.14,35.72,35.91,0.06,0.20%,"83,489",35.92,24.2,-4.00%,14,100.00%,0.00%,
15-Aug-17,36.42,36.42,35.78,35.85,-0.52,-1.40%,"88,665",36,25.2,-0.80%,12,100.00%,0.00%,
14-Aug-17,35.6,36.37,35.6,36.37,1,2.80%,"83,960",36.15,25.5,4.20%,8,100.00%,0.00%,
11-Aug-17,35.01,35.78,34.8,35.37,0.08,0.20%,"152,659",35.43,24.4,-6.40%,7,100.00%,0.00%,
10-Aug-17,36,36.43,35.28,35.29,-0.91,-2.50%,"149,663",35.56,26.1,2.70%,71,14.10%,85.90%,
9-Aug-17,36.29,36.42,36.03,36.2,-0.18,-0.50%,"130,356",36.21,25.4,1.60%,207,50.70%,49.30%,
8-Aug-17,36.76,37.11,36.28,36.38,-0.45,-1.20%,"178,143",36.59,25,8.90%,38,100.00%,0.00%,
7-Aug-17,36.95,37.1,36.59,36.83,-0.01,0.00%,"120,562",36.81,22.9,7.10%,82,39.00%,61.00%,
4-Aug-17,37.03,37.13,36.68,36.84,-0.16,-0.40%,"136,867",36.86,21.4,-12.70%,105,1.90%,98.10%,
3-Aug-17,36.92,37.12,36.74,37,0.15,0.40%,"179,932",36.96,24.5,9.10%,23,100.00%,0.00%,
2-Aug-17,36.74,37,36.51,36.85,0.12,0.30%,"239,669",36.81,22.5,-8.10%,41,73.20%,26.80%,
1-Aug-17,37.45,37.45,36.52,36.73,-0.67,-1.80%,"260,969",36.78,24.5,-5.90%,236,78.40%,21.60%,
31-Jul-17,36.23,37.46,35.9,37.4,1.16,3.20%,"621,743",36.77,26,4.90%,459,70.60%,29.40%,
28-Jul-17,36.15,36.38,36.12,36.24,-0.1,-0.30%,"144,787",36.24,24.8,-2.30%,25,100.00%,0.00%,
27-Jul-17,36.54,36.6,36.2,36.34,-0.36,-1.00%,"180,008",36.34,25.4,-1.60%,200,0.00%,100.00%,
26-Jul-17,36.75,36.75,36.25,36.7,0.05,0.10%,"269,164",36.64,25.8,23.80%,10,100.00%,0.00%,
25-Jul-17,36.53,36.72,36.4,36.65,0.35,1.00%,"147,453",36.57,20.9,-9.00%,100,0.00%,100.00%,
24-Jul-17,36.26,36.47,36.11,36.3,-0.19,-0.50%,"222,086",36.31,22.9,0.90%,58,1.70%,98.30%,
21-Jul-17,36.87,36.9,36.21,36.49,-0.31,-0.80%,"208,486",36.5,22.7,3.00%,29,65.50%,34.50%,
20-Jul-17,36.61,36.91,36.51,36.8,0.05,0.10%,"164,006",36.79,22.1,-3.60%,13,92.30%,7.70%,
19-Jul-17,36.31,36.78,36.2,36.75,0.51,1.40%,"215,400",36.59,22.9,-9.90%,15,33.30%,66.70%,
18-Jul-17,36.77,36.82,36.25,36.31,-0.67,-1.80%,"169,519",36.42,25.4,12.00%,35,71.40%,28.60%,
17-Jul-17,37.37,37.73,36.85,36.9,-0.71,-1.90%,"284,670",37.29,22.7,2.40%,10,90.00%,10.00%,
14-Jul-17,37.65,38.17,37.56,37.61,-0.03,-0.10%,"292,769",37.86,22.1,0.60%,21,52.40%,47.60%,
13-Jul-17,37.13,37.64,36.78,37.64,0.42,1.10%,"357,351",37.3,22,-12.30%,63,65.10%,34.90%,
12-Jul-17,37.13,37.9,35.8,37.22,0.57,1.60%,"939,111",37.1,25.1,-32.50%,463,75.60%,24.40%,
11-Jul-17,35.9,37.16,35.28,36.65,1.39,3.90%,"698,731",36.43,37.2,4.90%,"1,072",76.00%,24.00%,
10-Jul-17,35.46,35.73,35.2,35.26,-0.2,-0.60%,"147,954",35.42,35.5,-1.20%,82,78.00%,22.00%,
7-Jul-17,35.17,35.53,35.03,35.46,0.42,1.20%,"153,413",35.33,35.9,1.30%,27,100.00%,0.00%,
6-Jul-17,34.98,35.59,34.7,35.04,-0.26,-0.70%,"139,692",35.11,35.5,5.20%,130,84.60%,15.40%,
5-Jul-17,35.26,35.45,34.83,35.3,0.04,0.10%,"189,721",35.2,33.7,1.30%,40,95.00%,5.00%,
3-Jul-17,34.97,35.75,34.94,35.26,0.5,1.40%,"86,204",35.36,33.3,-0.80%,0,0.00%,0.00%,
30-Jun-17,34.32,35.12,34.09,34.76,0.54,1.60%,"177,439",34.79,33.5,2.50%,20,100.00%,0.00%,
29-Jun-17,34.75,34.77,33.92,34.22,-0.47,-1.40%,"103,027",34.29,32.7,-7.30%,11,9.10%,90.90%,
28-Jun-17,34.31,34.77,34.24,34.69,0.57,1.70%,"162,047",34.64,35.3,2.80%,0,0.00%,0.00%,
27-Jun-17,34.38,34.75,34.12,34.12,-0.28,-0.80%,"109,432",34.32,34.3,22.60%,1,100.00%,0.00%,
26-Jun-17,34.4,34.51,34.07,34.4,0.08,0.20%,"71,297",34.37,28,-17.90%,1,0.00%,100.00%,
23-Jun-17,34.41,34.68,34.24,34.32,-0.04,-0.10%,"215,852",34.4,34.1,4.80%,16,62.50%,37.50%,
22-Jun-17,34.04,34.47,33.92,34.36,0.36,1.10%,"136,409",34.31,32.6,3.40%,7,100.00%,0.00%,
21-Jun-17,34.87,34.87,33.99,34,-0.77,-2.20%,"106,945",34.23,31.5,1.70%,37,100.00%,0.00%,
20-Jun-17,35.26,35.4,34.77,34.77,-0.61,-1.70%,"63,482",34.92,31,-1.20%,3,100.00%,0.00%,
19-Jun-17,35.45,35.66,35.26,35.38,0.2,0.60%,"108,257",35.43,31.4,-1.60%,24,100.00%,0.00%,
16-Jun-17,34.99,35.51,34.97,35.18,-0.06,-0.20%,"352,856",35.3,31.9,-0.50%,15,100.00%,0.00%,
15-Jun-17,35.09,35.53,35,35.24,-0.2,-0.60%,"92,907",35.26,32,4.20%,2,0.00%,100.00%,
14-Jun-17,35.5,35.56,35.03,35.44,-0.09,-0.30%,"131,511",35.41,30.7,2.50%,6,66.70%,33.30%,
13-Jun-17,35.45,35.79,35.24,35.53,0.2,0.60%,"103,506",35.47,30,-3.40%,1,100.00%,0.00%,
12-Jun-17,35.63,35.9,35.14,35.33,-0.22,-0.60%,"108,947",35.41,31,6.80%,0,0.00%,0.00%,
