Strike,Price,Change,Bid,Ask,Volume,Open Int
240,0.01,-0.02,0.01,0.02,5,3486
250,0.02,0,0.01,0.02,-,497
260,0.02,0,-,0.02,-,1271
265,0.02,0,-,0.02,-,360
270,0.02,0,-,0.02,-,264
280,0.02,0,-,0.02,-,517
290,0.03,0,-,0.03,-,477
300,0.03,0,-,0.02,-,1015
310,0.04,0,-,0.03,-,113
320,0.02,0,-,0.04,-,204
330,0.03,0,0.01,0.04,-,278
340,0.05,0,-,0.05,-,222
350,0.06,0.01,-,0.05,1,946
360,0.05,0,-,0.06,-,728
370,0.05,0,0.01,0.05,-,537
380,0.05,0,0.01,0.05,-,621
390,0.05,0,0.02,0.05,-,611
400,0.04,0,0.01,0.05,-,1972
410,0.03,0,0.02,0.05,-,820
420,0.03,0,0.01,0.05,-,754
430,0.06,0,0.01,0.05,-,470
440,0.03,0,0.02,0.05,-,1283
450,0.04,0,0.02,-,-,2069
460,0.16,0,-,0.05,-,1726
470,0.08,0,-,0.06,-,470
480,0.01,0,-,0.05,-,1202
490,0.03,-0.07,-,0.05,5,620
500,0.04,-0.03,0.04,0.05,10,3224
510,0.08,0,-,0.08,5,509
520,0.08,-0.02,0.03,0.09,5,852
530,0.1,-0.02,0.05,0.09,30,491
540,0.09,-0.03,0.03,0.09,10,998
550,0.05,-0.05,0.05,0.09,7,1304
560,0.09,-0.04,0.02,0.1,2,575
570,0.09,-0.11,0.04,0.1,5,691
580,0.16,0,0.05,0.3,-,666
590,0.1,0,-,0.3,-,911
600,0.12,0,0.05,0.19,-,3506
610,0.12,-0.02,0.02,0.31,7,1180
620,0.36,0,0.05,0.32,-,1716
630,0.18,0,0.1,0.33,-,964
640,0.17,0,0.12,0.33,-,1025
650,0.25,0,0.1,0.35,-,2450
660,0.19,0,0.15,0.39,-,1495
670,0.2,-0.05,0.1,0.35,10,949
680,0.23,-0.01,0.18,0.48,1,1816
690,0.45,0,0.15,0.52,-,1103
700,0.21,-0.13,0.1,0.39,1,3299
710,0.17,-0.1,0.06,0.63,10,1416
720,0.43,0,0.09,0.58,-,1190
730,0.36,0,0.12,0.59,-,1170
740,0.29,-0.3,0.2,0.4,48,1539
750,0.3,-0.06,0.18,0.4,6,3270
760,0.42,0,0.15,0.55,-,1284
770,0.37,-0.15,0.25,0.52,31,1593
780,0.35,-0.24,0.31,0.57,1,1751
790,0.64,0,0.35,0.79,-,1664
800,0.44,-0.06,0.41,0.5,56,3397
810,0.57,-0.01,0.3,0.83,5,844
820,0.42,-0.2,0.42,0.67,155,3620
830,0.68,0,0.45,0.73,-,1121
840,0.6,-0.2,0.5,0.79,11,1311
850,0.65,0.05,0.52,0.85,261,4593
860,0.66,-0.19,0.6,0.78,3,1431
870,1.42,0,0.59,0.86,-,773
880,0.83,-0.51,0.63,0.92,3,1368
890,1.15,0,0.67,1,-,492
900,0.91,-0.15,0.88,1.11,19,4850
910,1,-0.31,0.74,1.22,1,799
920,1,-0.29,1,1.33,2,672
930,1.15,-0.14,1,1.3,15,1133
940,1.28,-0.24,1.05,1.52,6,820
950,1.5,-0.27,1.25,1.74,56,1770
960,1.53,-0.6,1.36,1.82,44,1640
970,1.87,-0.41,1.55,1.97,32,816
980,1.95,-0.55,1.79,2.05,27,952
990,2.28,-0.72,2.08,2.51,12,561
"1,000.00",2.7,-0.82,2.48,2.9,210,3218
"1,010.00",3.18,-0.92,2.8,3.25,50,620
"1,020.00",3.68,-1.09,3.3,3.7,43,1017
"1,030.00",4.22,-1.42,4,4.4,44,947
"1,040.00",5.09,-1.56,4.85,5.2,357,651
"1,050.00",5.95,-2.05,5.7,6.1,466,2011
"1,060.00",7.4,-2.45,6.9,7.3,250,841
"1,080.00",10.18,-3.42,9.85,10.35,356,1569
"1,100.00",14.25,-4.68,13.85,14.5,247,3553
"1,120.00",19.6,-6.4,19.4,20,127,3260