Date,GEClose,XOMClose,SBUXClose,MCDClose,AAPLClose
11/7/2016,32.209999,93.889999,56.32,122,96.980003
12/7/2016,32.259998,94.949997,57.48,122.25,97.419998
13/7/2016,32.360001,94.879997,56.48,122.82,96.870003
14/7/2016,32.630001,94.949997,57.59,123.93,98.790001
15/7/2016,32.880001,95.120003,57.41,123.610001,98.779999
18/7/2016,32.91,94.82,56.919998,123.800003,99.830002
19/7/2016,32.93,94.470001,56.759998,126.5,99.870003
20/7/2016,32.779999,93.93,57.540001,126.059998,99.959999
21/7/2016,32.59,93.849998,57.599998,127.18,99.43
22/7/2016,32.060001,94.010002,57.900002,128.259995,98.660004
25/7/2016,31.639999,92.199997,57.950001,127.400002,97.339996
26/7/2016,31.469999,91.529999,58.310001,121.709999,96.669998
27/7/2016,31.280001,90.910004,57.849998,119.480003,102.949997
28/7/2016,31.25,90.199997,58.209999,119.419998,104.339996
29/7/2016,31.139999,88.949997,58.049999,117.650002,104.209999
1/8/2016,31.15,85.860001,57.630001,118.010002,106.050003
2/8/2016,31.049999,87.040001,56.73,117.699997,104.480003
3/8/2016,31.129999,87.489998,55.939999,117.519997,105.790001
4/8/2016,31.17,87.480003,55.419998,118.300003,105.870003
5/8/2016,31.280001,87.559998,55.900002,119.209999,107.480003
8/8/2016,31.27,88.589996,55.360001,118.290001,108.370003
9/8/2016,31.299999,88.699997,55.200001,118.309998,108.809998
10/8/2016,31.27,86.410004,55.619999,118.800003,108
11/8/2016,31.290001,86.720001,55.470001,119.379997,107.93
12/8/2016,31.24,87.849998,55.470001,119.519997,108.18
15/8/2016,31.24,87.809998,55.25,118.519997,109.480003
16/8/2016,31.190001,87.919998,55.369999,117.940002,109.379997
17/8/2016,31.290001,88.110001,55.799999,117.099998,109.220001
18/8/2016,31.43,88.910004,55.529999,117.129997,109.080002
19/8/2016,31.25,87.800003,54.939999,115.010002,109.360001
22/8/2016,31.32,87.989998,55.849998,115.419998,108.510002
23/8/2016,31.23,87.720001,56.400002,115.190002,108.849998
24/8/2016,31.219999,88.019997,57.09,114.870003,108.029999
25/8/2016,31.209999,87.459999,57.290001,115.43,107.57
26/8/2016,31.23,87.269997,57.290001,114.440002,106.940002
29/8/2016,31.360001,87.839996,56.799999,115.410004,106.82
30/8/2016,31.370001,87.519997,56.400002,115.360001,106
31/8/2016,31.24,87.139999,56.23,115.660004,106.099998
1/9/2016,31.200001,86.839996,56.310001,115.400002,106.730003
2/9/2016,31.290001,87.419998,56.18,115.830002,107.730003
6/9/2016,31.049999,88.57,56.02,117.25,107.699997
7/9/2016,31.059999,88.239998,56.32,116.919998,108.360001
8/9/2016,31.040001,89.050003,55.299999,116.169998,105.519997
9/9/2016,30.110001,86.839996,54.349998,114.580002,103.129997
12/9/2016,30.49,87.290001,54.709999,115.949997,105.440002
13/9/2016,29.85,85.209999,53.98,114.730003,107.949997
14/9/2016,29.700001,84.599998,53.900002,115.18,111.769997
15/9/2016,29.75,85.080002,54.110001,116.139999,115.57
16/9/2016,29.68,84.029999,53.740002,115.279999,114.919998
19/9/2016,29.43,83.830002,53.009998,115.209999,113.580002
20/9/2016,29.67,82.540001,53.299999,116.449997,113.57
21/9/2016,29.85,83.300003,53.98,116.93,113.550003
22/9/2016,30.040001,83.540001,54.389999,117.360001,114.620003
23/9/2016,29.889999,83.449997,54.43,117.169998,112.709999
26/9/2016,29.540001,83.059998,54.040001,116.529999,112.879997
27/9/2016,29.879999,83.239998,54.189999,116.879997,113.089996
28/9/2016,29.9,86.900002,53.98,115.18,113.949997
29/9/2016,29.530001,86.459999,53.450001,114.790001,112.18
30/9/2016,29.620001,87.279999,54.139999,115.360001,113.050003
3/10/2016,29.639999,87.050003,53.84,114.639999,112.519997
4/10/2016,29.5,86.25,53.529999,113.5,113
5/10/2016,29.5,87,53.349998,113.410004,113.050003
6/10/2016,29.27,87.040001,53.139999,113.919998,113.889999
7/10/2016,29.08,86.739998,53.459999,113.449997,114.059998
10/10/2016,28.860001,88.440002,53.299999,114.709999,116.050003
11/10/2016,28.92,87.739998,52.919998,113.68,116.300003
12/10/2016,28.9,87.129997,53.16,114.709999,117.339996
13/10/2016,28.77,86.559998,52.950001,115.410004,116.980003
14/10/2016,28.889999,86.540001,53.080002,114.089996,117.629997
17/10/2016,28.85,86.540001,52.759998,112.410004,117.550003
18/10/2016,28.98,86.769997,52.610001,111.25,117.470001
19/10/2016,29.059999,87.169998,53.150002,111.260002,117.120003
20/10/2016,29.07,87.209999,53.59,110.57,117.059998
21/10/2016,28.98,86.620003,53.630001,113.93,116.599998
24/10/2016,28.92,86.910004,54.18,113.57,117.650002
25/10/2016,28.65,86.720001,53.669998,112.720001,118.25
26/10/2016,28.870001,87.089996,53.630001,112.110001,115.589996
27/10/2016,28.629999,86.919998,53.59,112.080002,114.480003
28/10/2016,29.219999,84.779999,53.529999,112.099998,113.720001
31/10/2016,29.1,83.32,53.07,112.57,113.540001
1/11/2016,28.879999,83.650002,52.5,112.25,111.489998
2/11/2016,28.49,83.449997,52.98,112.389999,111.589996
3/11/2016,28.280001,83.660004,51.77,111.720001,109.830002
4/11/2016,28.440001,83.57,52.75,111.040001,108.839996
7/11/2016,29.309999,85.449997,54.490002,112.82,110.410004
8/11/2016,29.42,85.309998,54.619999,114.110001,111.059998
9/11/2016,29.629999,86.25,54.580002,114.980003,110.879997
10/11/2016,30.41,87.050003,53.57,114.510002,107.790001
11/11/2016,30.709999,85.669998,53.93,114.220001,108.43
14/11/2016,30.51,85.279999,54.220001,117.860001,105.709999
15/11/2016,30.75,86.82,54.59,118.32,107.110001
16/11/2016,30.74,85.75,55.439999,119.209999,109.989998
17/11/2016,30.790001,85.230003,55.849998,119.449997,109.949997
18/11/2016,30.67,85.279999,55.77,120,110.059998
21/11/2016,30.870001,86.489998,56.099998,119.5,111.730003
22/11/2016,31.18,86.68,57.119999,119.690002,111.800003
23/11/2016,31.34,86.919998,57.59,120.139999,111.230003
25/11/2016,31.440001,87.120003,57.43,120.660004,111.790001
28/11/2016,31.25,86.470001,57.59,121.82,111.57
29/11/2016,31.049999,85.900002,58.169998,120.68,111.459999
30/11/2016,30.76,87.300003,57.970001,119.269997,110.519997
1/12/2016,31.389999,87.239998,58.509998,118.470001,109.489998
2/12/2016,31.34,87.040001,57.209999,118.239998,109.900002
5/12/2016,31.110001,87.480003,57.5,119.290001,109.110001
6/12/2016,31.17,87.559998,57.439999,119.25,109.949997
7/12/2016,31.6,88.07,58.759998,119.919998,111.029999
8/12/2016,31.530001,88.32,58.650002,120.449997,112.120003
9/12/2016,31.780001,89,58.75,121.260002,113.949997
12/12/2016,31.860001,90.980003,58.77,121.739998,113.300003
13/12/2016,31.74,92.580002,59.310001,122.68,115.190002
14/12/2016,31.5,90.580002,58.75,122.839996,115.190002
15/12/2016,31.26,90.889999,57.709999,122.360001,115.82
16/12/2016,31.75,91.18,57.66,123.239998,115.970001
19/12/2016,31.92,90.419998,57.650002,122.989998,116.639999
20/12/2016,32.25,90.43,57.700001,123.330002,116.949997
21/12/2016,32.130001,90.279999,57.439999,123.18,117.059998
22/12/2016,31.82,90.870003,57.110001,123.720001,116.290001
23/12/2016,31.879999,90.709999,57.009998,123.139999,116.519997
27/12/2016,31.9,90.75,56.860001,123.07,117.260002
28/12/2016,31.700001,90.300003,56.349998,122.68,116.760002
29/12/2016,31.709999,90.349998,56.32,122.790001,116.730003
30/12/2016,31.6,90.260002,55.52,121.720001,115.82
3/1/2017,31.690001,90.889999,55.349998,119.620003,116.150002
4/1/2017,31.700001,89.889999,55.990002,119.480003,116.019997
5/1/2017,31.52,88.550003,56.459999,119.699997,116.610001
6/1/2017,31.610001,88.5,57.130001,120.760002,117.910004
9/1/2017,31.459999,87.040001,58.200001,120.43,118.989998
10/1/2017,31.370001,85.93,57.880001,120.25,119.110001
11/1/2017,31.469999,86.809998,58.099998,120.879997,119.75
12/1/2017,31.389999,86.339996,58.029999,122.099998,119.25
13/1/2017,31.360001,86.349998,57.849998,121.5,119.040001
17/1/2017,31.27,87.360001,58,122.75,120
18/1/2017,31.23,86.279999,58.450001,122.709999,119.989998
19/1/2017,31.209999,84.730003,57.889999,122.18,119.779999
20/1/2017,30.530001,85.889999,57.66,122.260002,120
23/1/2017,29.75,84.970001,57.759998,121.379997,120.080002
24/1/2017,30,85.089996,58.439999,121.050003,119.970001
25/1/2017,30.370001,85.339996,58.700001,121.790001,121.879997
26/1/2017,30.32,85.599998,58.459999,121.879997,121.940002
27/1/2017,30.01,85.510002,56.119999,122.860001,121.949997
30/1/2017,29.959999,84.860001,55.900002,123.019997,121.629997
31/1/2017,29.700001,83.889999,55.220001,122.57,121.349998
1/2/2017,29.690001,82.940002,53.900002,122.419998,128.75
2/2/2017,29.68,83.449997,53.869999,123.220001,128.529999
3/2/2017,29.700001,83.540001,55.060001,124.239998,129.080002
6/2/2017,29.66,83.309998,55.73,124.449997,130.289993
7/2/2017,29.559999,82.769997,55.240002,124.589996,131.529999
8/2/2017,29.43,81.480003,55.220001,124.669998,132.039993
9/2/2017,29.59,81.839996,55.810001,124.480003,132.419998
10/2/2017,29.719999,82.519997,56.220001,125.82,132.119995
13/2/2017,30.040001,83,56.110001,125.540001,133.289993
14/2/2017,30.280001,82.82,56.580002,125.809998,135.020004
15/2/2017,30.35,83.160004,56.860001,126.480003,135.509995
16/2/2017,30.450001,82.300003,56.73,126.699997,135.350006
17/2/2017,30.370001,81.760002,57.349998,127.800003,135.720001
21/2/2017,30.52,81.889999,57.540001,128.039993,136.699997
22/2/2017,30.33,80.93,57.57,127.849998,137.110001
23/2/2017,30.02,81.779999,57.639999,128.270004,136.529999
24/2/2017,30.190001,81.080002,57.48,128.649994,136.660004
27/2/2017,29.940001,81.540001,56.779999,126.989998,136.929993
28/2/2017,29.809999,81.32,56.869999,127.650002,136.990005
1/3/2017,30.190001,83.019997,57.139999,129.050003,139.789993
2/3/2017,30.190001,83.300003,57.119999,128.229996,138.960007
3/3/2017,30.120001,82.459999,57.099998,127.900002,139.779999
6/3/2017,30,82.830002,56.68,128.029999,139.339996
7/3/2017,29.860001,82.519997,56.200001,128.070007,139.520004
8/3/2017,29.799999,81.029999,55.740002,128.089996,139
9/3/2017,29.66,81.669998,55.189999,128.139999,138.679993
10/3/2017,30.280001,81.610001,54.529999,127.980003,139.139999
13/3/2017,29.860001,81.419998,54.630001,127.610001,139.199997
14/3/2017,29.540001,80.989998,54.27,127.800003,138.990005
15/3/2017,29.76,82,54.540001,127.879997,140.460007
16/3/2017,29.75,82.07,54.799999,127.980003,140.690002
17/3/2017,29.879999,82,55.779999,128.639999,139.990005
20/3/2017,29.74,82,55.810001,128.779999,141.460007
21/3/2017,29.389999,81.830002,55.540001,128.520004,139.839996
22/3/2017,29.530001,81.760002,55.889999,129.100006,141.419998
23/3/2017,29.620001,81.860001,55.849998,129,140.919998
24/3/2017,29.719999,81.230003,56.810001,129.339996,140.639999
27/3/2017,29.440001,81.25,57.23,129.490005,140.880005
28/3/2017,29.620001,81.839996,57.349998,129.449997,143.800003
29/3/2017,29.68,82.019997,57.540001,128.839996,144.119995
30/3/2017,29.870001,83.699997,58.16,129.320007,143.929993
31/3/2017,29.799999,82.010002,58.389999,129.610001,143.660004
3/4/2017,29.879999,82.07,58.439999,129.610001,143.699997
4/4/2017,30.02,82.370003,58.32,129.289993,144.770004
5/4/2017,29.969999,82.529999,58.220001,130.410004,144.020004
6/4/2017,29.93,83.010002,57.919998,130.149994,143.660004
7/4/2017,29.99,82.760002,58.02,129.960007,143.339996
10/4/2017,30.01,83.129997,57.950001,129.979996,143.169998
11/4/2017,30.040001,82.839996,57.880001,131.199997,141.630005
12/4/2017,29.77,82.970001,57.580002,131.259995,141.800003
13/4/2017,29.559999,81.690002,57.509998,130.759995,141.050003
17/4/2017,29.639999,81.580002,58.080002,131.350006,141.830002
18/4/2017,29.84,81.050003,58.349998,132.300003,141.199997
19/4/2017,30,80.489998,59.040001,132.639999,140.679993
20/4/2017,30.27,81.010002,60.080002,133.270004,142.440002
21/4/2017,29.549999,80.690002,60.610001,133.410004,142.270004
24/4/2017,29.549999,81.110001,61.110001,134.229996,143.639999
25/4/2017,29.450001,81.730003,60.959999,141.699997,144.529999
26/4/2017,29.26,81.400002,61.560001,140.839996,143.679993
27/4/2017,29.08,81.260002,61.299999,140.869995,143.789993
28/4/2017,28.99,81.650002,60.060001,139.929993,143.649994
1/5/2017,28.940001,82.059998,60.18,141.149994,146.580002
2/5/2017,28.99,82.050003,60.5,141.229996,147.509995
3/5/2017,29.23,82.699997,60.59,142.619995,147.059998
4/5/2017,29.200001,81.639999,60.830002,143.449997,146.529999
5/5/2017,29.219999,82.019997,60.950001,143.960007,148.960007
8/5/2017,29.07,82.889999,60.939999,144.240005,153.009995
9/5/2017,28.93,82.309998,60.98,144.360001,153.990005
10/5/2017,28.700001,81.910004,60.66,144.520004,153.259995
11/5/2017,28.870001,82.610001,60.27,144.210007,153.949997
12/5/2017,28.27,82.550003,59.93,145.360001,156.100006
15/5/2017,28.18,82.800003,60.450001,146.279999,155.699997
16/5/2017,28.040001,82.550003,59.98,147.289993,155.470001
17/5/2017,27.41,81.989998,59.73,146.410004,150.25
18/5/2017,27.48,81.75,59.82,147.009995,152.539993
19/5/2017,28.049999,81.93,61.360001,148.149994,153.059998
22/5/2017,28.18,82.290001,61.23,148.190002,153.990005
23/5/2017,28.280001,82.580002,61.150002,147.820007,153.800003
24/5/2017,27.83,82.290001,61.889999,149.5,153.339996
25/5/2017,27.49,81.75,62.900002,149.779999,153.869995
26/5/2017,27.450001,81.550003,63.299999,149.860001,153.610001
30/5/2017,27.360001,81.099998,63.259998,149.929993,153.669998
31/5/2017,27.379999,80.5,63.610001,150.889999,152.759995
1/6/2017,27.719999,80.699997,63.75,152.389999,153.179993
2/6/2017,27.879999,79.5,64.57,153.740005,155.449997
5/6/2017,27.98,80.120003,64.269997,152.789993,153.929993
6/6/2017,27.93,81.209999,64.160004,151.229996,154.449997
7/6/2017,27.68,80.910004,63.5,151.940002,155.369995
8/6/2017,27.59,80.620003,62.240002,151.429993,154.990005
9/6/2017,27.940001,82.129997,62.189999,151.479996,148.979996
12/6/2017,28.940001,82.93,61.290001,148.470001,145.419998
13/6/2017,28.450001,82.959999,60.919998,149.820007,146.589996
14/6/2017,28.690001,82.07,60.27,150.679993,145.160004
15/6/2017,28.940001,82.260002,60.09,151.169998,144.289993
16/6/2017,29,83.489998,60.139999,151.990005,142.270004
19/6/2017,28.799999,82.760002,60.900002,153.139999,146.339996
20/6/2017,28.129999,82.309998,59.860001,154.070007,145.009995
21/6/2017,27.780001,81.440002,59.959999,153.729996,145.869995
22/6/2017,27.549999,81.080002,59.509998,154.800003,145.630005
23/6/2017,27.57,81.610001,59.810001,154.639999,146.279999
26/6/2017,27.610001,81.239998,59.639999,153.960007,145.820007
27/6/2017,27.209999,81.110001,58.959999,153.720001,143.729996
28/6/2017,27.08,81.529999,59.18,154.300003,145.830002
29/6/2017,27.02,80.699997,58.360001,153.130005,143.679993
30/6/2017,27.01,80.730003,58.310001,153.160004,144.020004
3/7/2017,27.450001,82.099998,58.25,152.5,143.5
5/7/2017,27.35,80.849998,57.939999,153.070007,144.089996
6/7/2017,26.309999,80.120003,57.599998,153.089996,142.729996
7/7/2017,26.15,80.220001,58.040001,156.270004,144.179993
