Calls,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,Puts,Last,Chg,Bid,Ask,Vol,Open Int
"Dec 14, 2018",,,98.6,105.7,0,0,GOOG,930,"Dec 14, 2018",5.2,,6.2,6.7,0,10
"Dec 14, 2018",,,90.2,96.9,0,0,GOOG,940,"Dec 14, 2018",8.23,,7.3,8.2,0,7
"Dec 14, 2018",,,81.1,88.4,0,0,GOOG,950,"Dec 14, 2018",8.36,-10.64,8.5,9.8,3,23
"Dec 14, 2018",,,73.1,79.9,0,0,GOOG,960,"Dec 14, 2018",11.08,,10.4,11.6,0,45
"Dec 14, 2018",,,65.4,72.2,0,0,GOOG,970,"Dec 14, 2018",11.35,,12.7,13.6,0,26
"Dec 14, 2018",,,59.6,64.7,0,0,GOOG,980,"Dec 14, 2018",12.76,,15.1,15.8,0,13
"Dec 14, 2018",,,54.3,56.1,0,0,GOOG,987.5,"Dec 14, 2018",,,17.1,18.1,0,0
"Dec 14, 2018",,,52.7,54.2,0,0,GOOG,990,"Dec 14, 2018",20.9,,17.7,19,0,10
"Dec 14, 2018",,,50.8,52.5,0,0,GOOG,992.5,"Dec 14, 2018",,,18.6,19.7,0,0
"Dec 14, 2018",,,49.2,50.8,0,0,GOOG,995,"Dec 14, 2018",16.5,,19.6,20.3,0,12
"Dec 14, 2018",,,47.5,49,0,0,GOOG,997.5,"Dec 14, 2018",,,20,21.2,0,0
"Dec 14, 2018",42.2,,45.9,47.5,0,4,GOOG,1000,"Dec 14, 2018",21,5.3,21.2,22,1,61
"Dec 14, 2018",41.38,,44.3,45.9,0,1,GOOG,1002.5,"Dec 14, 2018",18.96,,21.8,23.1,0,19
"Dec 14, 2018",44.7,,42.4,44.3,0,2,GOOG,1005,"Dec 14, 2018",16.57,,22.7,23.8,0,9
"Dec 14, 2018",46.4,-0.6,41.3,42.5,20,2,GOOG,1007.5,"Dec 14, 2018",21.5,,23.7,24.8,0,1
"Dec 14, 2018",35.28,,39.8,41.3,0,9,GOOG,1010,"Dec 14, 2018",19.93,,25,25.7,0,61
"Dec 14, 2018",33.4,,38.2,39.7,0,2,GOOG,1012.5,"Dec 14, 2018",21.93,,25.8,26.8,0,9
"Dec 14, 2018",38,,36.8,38.1,0,3,GOOG,1015,"Dec 14, 2018",19.42,,27,27.8,0,19
"Dec 14, 2018",36.6,,35.4,36.6,0,2,GOOG,1017.5,"Dec 14, 2018",23.2,,27.8,28.8,0,5
"Dec 14, 2018",35.6,,34,35.5,0,5,GOOG,1020,"Dec 14, 2018",24.1,,28.9,29.9,0,53
"Dec 14, 2018",31.6,,32.7,33.9,0,3,GOOG,1022.5,"Dec 14, 2018",26.3,,29.8,31.2,0,1
"Dec 14, 2018",33.1,,31.2,32.4,0,5,GOOG,1025,"Dec 14, 2018",35.9,,30.9,32.3,0,31
"Dec 14, 2018",,,30,31.2,0,0,GOOG,1027.5,"Dec 14, 2018",36.74,,32.1,33.5,0,2
"Dec 14, 2018",31.99,-2.43,28.7,29.8,1,31,GOOG,1030,"Dec 14, 2018",29,3.69,33.6,34.7,1,12
"Dec 14, 2018",31.7,4.7,27.6,28.4,1,3,GOOG,1032.5,"Dec 14, 2018",,,34.5,36,0,0
"Dec 14, 2018",28.31,,26.3,27.2,0,32,GOOG,1035,"Dec 14, 2018",32,,36,37.2,0,12
"Dec 14, 2018",39.7,,25.1,26.3,0,1,GOOG,1037.5,"Dec 14, 2018",28.5,,37.4,38.5,0,1
"Dec 14, 2018",25.5,-9.4,24,25,2,5,GOOG,1040,"Dec 14, 2018",32.14,,38.7,39.9,0,5
"Dec 14, 2018",23,,22.9,23.9,0,2,GOOG,1042.5,"Dec 14, 2018",33.31,,40,41.4,0,4
"Dec 14, 2018",26.78,,21.8,22.9,0,9,GOOG,1045,"Dec 14, 2018",45.42,,41.2,42.8,0,16
"Dec 14, 2018",30.8,,20.7,21.8,0,10,GOOG,1047.5,"Dec 14, 2018",32.8,,43.1,44.2,0,2
"Dec 14, 2018",20.66,,19.7,20.9,0,5,GOOG,1050,"Dec 14, 2018",43.3,8.9,44.5,45.6,1,21
"Dec 14, 2018",29.51,,18.8,19.6,0,4,GOOG,1052.5,"Dec 14, 2018",40.2,,45.9,47.4,0,2
"Dec 14, 2018",38.5,,17.8,18.7,0,6,GOOG,1055,"Dec 14, 2018",36.5,,47.5,48.9,0,42
"Dec 14, 2018",20.3,-6.2,16.9,17.9,1,4,GOOG,1057.5,"Dec 14, 2018",33.8,,48.8,50.4,0,4
"Dec 14, 2018",20,,16,17.3,0,6,GOOG,1060,"Dec 14, 2018",39.1,,51.1,52.1,0,21
"Dec 14, 2018",24.1,,15.3,16.2,0,5,GOOG,1062.5,"Dec 14, 2018",39.7,,51.4,54.2,0,5
"Dec 14, 2018",19.14,,14.5,15.2,0,12,GOOG,1065,"Dec 14, 2018",40.7,,53.5,55.9,0,24
"Dec 14, 2018",12.17,,13.6,14.5,0,8,GOOG,1067.5,"Dec 14, 2018",33.5,,52.4,60.4,0,2
"Dec 14, 2018",21.1,,13,13.7,0,8,GOOG,1070,"Dec 14, 2018",46.1,,54.2,60.7,0,7
"Dec 14, 2018",19.6,,12.3,13,0,5,GOOG,1072.5,"Dec 14, 2018",35.8,,56,63.3,0,1
"Dec 14, 2018",16,,11.5,12.3,0,3,GOOG,1075,"Dec 14, 2018",61.43,,57.8,65.3,0,9
"Dec 14, 2018",18.1,,10.9,11.7,0,2,GOOG,1077.5,"Dec 14, 2018",40,,59.6,66.9,0,10
"Dec 14, 2018",13.3,-4,10.3,10.9,3,19,GOOG,1080,"Dec 14, 2018",47.1,,61.5,68.9,0,13
"Dec 14, 2018",16.19,,9.7,10.4,0,3,GOOG,1082.5,"Dec 14, 2018",57.6,,63.5,71.2,0,3
"Dec 14, 2018",15.84,,9.1,10,0,4,GOOG,1085,"Dec 14, 2018",55.94,,65.4,73.4,0,3
"Dec 14, 2018",,,7.7,10.3,0,0,GOOG,1087.5,"Dec 14, 2018",,,67.2,75.3,0,0
"Dec 14, 2018",15.6,,8.1,8.8,0,27,GOOG,1090,"Dec 14, 2018",67.3,8.23,69.4,77.2,6,18
"Dec 14, 2018",9.9,-17.13,7.6,8.3,1,11,GOOG,1092.5,"Dec 14, 2018",,,71.4,79.2,0,0
"Dec 14, 2018",9.4,-3.44,7.2,7.8,3,5,GOOG,1095,"Dec 14, 2018",,,73.5,81.3,0,0
"Dec 14, 2018",12,,6.8,7.4,0,8,GOOG,1097.5,"Dec 14, 2018",78.5,10.4,78.5,80.2,1,1
"Dec 14, 2018",6.5,-4.25,6.5,7,22,58,GOOG,1100,"Dec 14, 2018",75.31,-16.39,77.8,85.4,6,20
"Dec 14, 2018",7.8,-2.7,6,6.6,2,1,GOOG,1102.5,"Dec 14, 2018",,,79.9,87.5,0,0
"Dec 14, 2018",7,-3.46,5.6,6.2,5,4,GOOG,1105,"Dec 14, 2018",,,81.7,89.6,0,0
"Dec 14, 2018",6.9,-2.9,5.2,5.8,1,3,GOOG,1107.5,"Dec 14, 2018",,,84.1,91.8,0,0
"Dec 14, 2018",5.68,-3.72,4.9,5.5,8,21,GOOG,1110,"Dec 14, 2018",88,26.48,86.2,93.6,5,15
"Dec 14, 2018",13.3,,4.4,5.3,0,2,GOOG,1112.5,"Dec 14, 2018",,,88.5,96.2,0,0
"Dec 14, 2018",5.3,,4.3,4.8,3,0,GOOG,1115,"Dec 14, 2018",68.99,,90.6,98.1,0,2
"Dec 14, 2018",5.7,,2.95,4.6,0,11,GOOG,1117.5,"Dec 14, 2018",,,92.9,100.6,0,0
"Dec 14, 2018",4.6,-0.9,3.8,4.3,1,31,GOOG,1120,"Dec 14, 2018",68.88,,95,102.7,0,13
"Dec 14, 2018",4.3,-1.3,3.3,3.8,1,5,GOOG,1125,"Dec 14, 2018",116.8,,99.5,107.4,0,1
