Expiry Date,Strike,Open Interest,Underlying,Call/Put,Bid,Ask
2019/12/20,660.00 ,1.00 ,1202.31 ,c,481.00 ,489.30 
2019/12/20,680.00 ,1.00 ,1202.31 ,c,459.10 ,467.40 
2019/12/20,700.00 ,0.00 ,1202.31 ,c,475.10 ,483.60 
2019/12/20,760.00 ,1.00 ,1202.31 ,c,439.60 ,448.30 
2019/12/20,800.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,900.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,920.00 ,6.00 ,1202.31 ,c,224.40 ,234.50 
2019/12/20,940.00 ,4.00 ,1202.31 ,c,218.10 ,226.70 
2019/12/20,960.00 ,1.00 ,1202.31 ,c,203.60 ,211.20 
2019/12/20,980.00 ,5.00 ,1202.31 ,c,225.50 ,234.80 
2019/12/20,1000.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1020.00 ,50.00 ,1202.31 ,c,159.00 ,165.80 
2019/12/20,1040.00 ,155.00 ,1202.31 ,c,171.20 ,178.90 
2019/12/20,1060.00 ,43.00 ,1202.31 ,c,154.50 ,162.00 
2019/12/20,1080.00 ,37.00 ,1202.31 ,c,137.80 ,144.90 
2019/12/20,1100.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1120.00 ,61.00 ,1202.31 ,c,106.70 ,112.00 
2019/12/20,1135.00 ,52.00 ,1202.31 ,c,98.10 ,100.50 
2019/12/20,1140.00 ,62.00 ,1202.31 ,c,94.50 ,95.80 
2019/12/20,1145.00 ,72.00 ,1202.31 ,c,91.50 ,92.50 
2019/12/20,1150.00 ,108.00 ,1202.31 ,c,88.00 ,88.90 
2019/12/20,1155.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1160.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1165.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1170.00 ,37.00 ,1202.31 ,c,74.80 ,75.50 
2019/12/20,1175.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1180.00 ,73.00 ,1202.31 ,c,68.50 ,69.50 
2019/12/20,1185.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1190.00 ,67.00 ,1202.31 ,c,62.60 ,63.70 
2019/12/20,1195.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1200.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1205.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1210.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1215.00 ,135.00 ,1202.31 ,c,48.90 ,49.80 
2019/12/20,1220.00 ,53.00 ,1202.31 ,c,46.40 ,47.20 
2019/12/20,1225.00 ,80.00 ,1202.31 ,c,44.00 ,44.70 
2019/12/20,1230.00 ,121.00 ,1202.31 ,c,41.70 ,42.50 
2019/12/20,1235.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1240.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1245.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1250.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1255.00 ,41.00 ,1202.31 ,c,31.00 ,31.80 
2019/12/20,1260.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1265.00 ,30.00 ,1202.31 ,c,27.30 ,28.20 
2019/12/20,1270.00 ,65.00 ,1202.31 ,c,25.60 ,26.20 
2019/12/20,1275.00 ,61.00 ,1202.31 ,c,23.90 ,24.70 
2019/12/20,1280.00 ,132.00 ,1202.31 ,c,22.30 ,23.00 
2019/12/20,1285.00 ,14.00 ,1202.31 ,c,20.80 ,21.70 
2019/12/20,1290.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1295.00 ,65.00 ,1202.31 ,c,18.10 ,18.80 
2019/12/20,1300.00 ,1541.00 ,1202.31 ,c,16.70 ,17.40 
2019/12/20,1305.00 ,16.00 ,1202.31 ,c,15.60 ,16.20 
2019/12/20,1310.00 ,77.00 ,1202.31 ,c,14.40 ,15.00 
2019/12/20,1315.00 ,17.00 ,1202.31 ,c,13.30 ,14.00 
2019/12/20,1320.00 ,133.00 ,1202.31 ,c,12.30 ,12.80 
2019/12/20,1325.00 ,28.00 ,1202.31 ,c,11.40 ,12.00 
2019/12/20,1330.00 ,68.00 ,1202.31 ,c,10.40 ,11.10 
2019/12/20,1335.00 ,12.00 ,1202.31 ,c,9.60 ,10.20 
2019/12/20,1340.00 ,73.00 ,1202.31 ,c,8.80 ,9.40 
2019/12/20,1360.00 ,2487.00 ,1202.31 ,c,6.40 ,6.70 
2019/12/20,1380.00 ,132.00 ,1202.31 ,c,4.30 ,4.70 
2019/12/20,1400.00 ,754.00 ,1202.31 ,c,3.00 ,3.30 
2019/12/20,1420.00 ,29.00 ,1202.31 ,c,1.95 ,2.35 
2019/12/20,1440.00 ,45.00 ,1202.31 ,c,1.30 ,1.85 
2019/12/20,1460.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1480.00 ,43.00 ,1202.31 ,c,0.45 ,1.10 
2019/12/20,1500.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,1520.00 ,6.00 ,1202.31 ,c,0.20 ,0.80 
2019/12/20,1540.00 ,3.00 ,1202.31 ,c,0.10 ,1.00 
2019/12/20,1560.00 ,8.00 ,1202.31 ,c,0.10 ,0.60 
2019/12/20,1570.00 ,1.00 ,1202.31 ,c,0.80 ,1.40 
2019/12/20,1580.00 ,2.00 ,1202.31 ,c,0.65 ,1.30 
2019/12/20,1590.00 ,0.00 ,1202.31 ,c,0.00 ,1.20 
2019/12/20,1600.00 ,8.00 ,1202.31 ,c,0.00 ,0.75 
2019/12/20,1620.00 ,1.00 ,1202.31 ,c,0.50 ,0.75 
2019/12/20,1700.00 ,0.00 ,1202.31 ,c,0.00 ,5.00 
2019/12/20,1720.00 ,0.00 ,1202.31 ,c,0.00 ,0.65 
2019/12/20,1800.00 ,0.00 ,1202.31 ,c,0.00 ,5.00 
2019/12/20,1820.00 ,68.00 ,1202.31 ,c,0.00 ,0.70 
2019/12/20,1840.00 ,0.00 ,1202.31 ,c,0.00 ,0.00 
2019/12/20,640.00 ,99.00 ,1202.31 ,p,0.00 ,0.45 
2019/12/20,660.00 ,2.00 ,1202.31 ,p,0.70 ,0.45 
2019/12/20,700.00 ,57.00 ,1202.31 ,p,0.00 ,0.55 
2019/12/20,720.00 ,0.00 ,1202.31 ,p,0.25 ,0.80 
2019/12/20,740.00 ,5.00 ,1202.31 ,p,1.50 ,1.95 
2019/12/20,760.00 ,0.00 ,1202.31 ,p,0.50 ,1.30 
2019/12/20,780.00 ,95.00 ,1202.31 ,p,0.25 ,0.80 
2019/12/20,800.00 ,180.00 ,1202.31 ,p,0.45 ,0.85 
2019/12/20,820.00 ,0.00 ,1202.31 ,p,0.70 ,1.25 
2019/12/20,840.00 ,42.00 ,1202.31 ,p,0.90 ,1.40 
2019/12/20,860.00 ,68.00 ,1202.31 ,p,1.20 ,1.65 
2019/12/20,865.00 ,2.00 ,1202.31 ,p,1.30 ,1.70 
2019/12/20,880.00 ,65.00 ,1202.31 ,p,1.60 ,2.00 
2019/12/20,890.00 ,1.00 ,1202.31 ,p,1.80 ,2.20 
2019/12/20,895.00 ,30.00 ,1202.31 ,p,1.95 ,2.35 
2019/12/20,900.00 ,208.00 ,1202.31 ,p,2.10 ,2.45 
2019/12/20,910.00 ,21.00 ,1202.31 ,p,2.35 ,2.75 
2019/12/20,920.00 ,218.00 ,1202.31 ,p,2.70 ,3.10 
2019/12/20,930.00 ,4.00 ,1202.31 ,p,3.00 ,3.40 
2019/12/20,940.00 ,93.00 ,1202.31 ,p,3.40 ,3.80 
2019/12/20,950.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,955.00 ,1.00 ,1202.31 ,p,4.10 ,4.50 
2019/12/20,960.00 ,92.00 ,1202.31 ,p,4.40 ,4.70 
2019/12/20,970.00 ,2.00 ,1202.31 ,p,4.80 ,5.20 
2019/12/20,975.00 ,2.00 ,1202.31 ,p,5.10 ,5.50 
2019/12/20,980.00 ,217.00 ,1202.31 ,p,5.50 ,5.80 
2019/12/20,990.00 ,10.00 ,1202.31 ,p,6.10 ,6.50 
2019/12/20,995.00 ,6.00 ,1202.31 ,p,6.40 ,6.80 
2019/12/20,1000.00 ,1696.00 ,1202.31 ,p,6.80 ,7.20 
2019/12/20,1020.00 ,196.00 ,1202.31 ,p,8.60 ,8.90 
2019/12/20,1040.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1060.00 ,306.00 ,1202.31 ,p,13.10 ,13.40 
2019/12/20,1080.00 ,399.00 ,1202.31 ,p,16.20 ,16.40 
2019/12/20,1100.00 ,728.00 ,1202.31 ,p,19.60 ,20.20 
2019/12/20,1120.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1135.00 ,54.00 ,1202.31 ,p,27.90 ,28.40 
2019/12/20,1140.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1145.00 ,36.00 ,1202.31 ,p,30.60 ,31.30 
2019/12/20,1150.00 ,113.00 ,1202.31 ,p,32.10 ,32.90 
2019/12/20,1155.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1160.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1165.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1170.00 ,154.00 ,1202.31 ,p,38.80 ,39.60 
2019/12/20,1175.00 ,40.00 ,1202.31 ,p,40.50 ,41.50 
2019/12/20,1180.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1185.00 ,23.00 ,1202.31 ,p,44.60 ,45.40 
2019/12/20,1190.00 ,220.00 ,1202.31 ,p,46.70 ,47.40 
2019/12/20,1195.00 ,8.00 ,1202.31 ,p,48.70 ,49.90 
2019/12/20,1200.00 ,90.00 ,1202.31 ,p,50.80 ,51.80 
2019/12/20,1205.00 ,27.00 ,1202.31 ,p,53.00 ,54.00 
2019/12/20,1210.00 ,162.00 ,1202.31 ,p,55.90 ,56.40 
2019/12/20,1215.00 ,93.00 ,1202.31 ,p,57.90 ,58.90 
2019/12/20,1220.00 ,90.00 ,1202.31 ,p,60.50 ,61.30 
2019/12/20,1225.00 ,42.00 ,1202.31 ,p,62.90 ,64.00 
2019/12/20,1230.00 ,40.00 ,1202.31 ,p,65.60 ,67.10 
2019/12/20,1235.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1240.00 ,46.00 ,1202.31 ,p,71.10 ,72.30 
2019/12/20,1245.00 ,26.00 ,1202.31 ,p,74.00 ,75.30 
2019/12/20,1250.00 ,18.00 ,1202.31 ,p,76.90 ,78.00 
2019/12/20,1255.00 ,26.00 ,1202.31 ,p,79.90 ,81.20 
2019/12/20,1260.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1265.00 ,9.00 ,1202.31 ,p,86.10 ,87.70 
2019/12/20,1270.00 ,11.00 ,1202.31 ,p,89.40 ,92.60 
2019/12/20,1275.00 ,2.00 ,1202.31 ,p,92.80 ,94.40 
2019/12/20,1280.00 ,6.00 ,1202.31 ,p,96.20 ,97.80 
2019/12/20,1285.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1290.00 ,6.00 ,1202.31 ,p,73.30 ,76.30 
2019/12/20,1295.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1300.00 ,11.00 ,1202.31 ,p,110.60 ,113.60 
2019/12/20,1305.00 ,3.00 ,1202.31 ,p,114.50 ,116.60 
2019/12/20,1310.00 ,2.00 ,1202.31 ,p,105.70 ,110.60 
2019/12/20,1315.00 ,0.00 ,1202.31 ,p,150.80 ,161.00 
2019/12/20,1320.00 ,5.00 ,1202.31 ,p,101.50 ,109.50 
2019/12/20,1325.00 ,5.00 ,1202.31 ,p,106.60 ,112.80 
2019/12/20,1330.00 ,9.00 ,1202.31 ,p,206.00 ,214.00 
2019/12/20,1335.00 ,0.00 ,1202.31 ,p,151.20 ,159.60 
2019/12/20,1340.00 ,1.00 ,1202.31 ,p,155.20 ,164.50 
2019/12/20,1360.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1380.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1400.00 ,0.00 ,1202.31 ,p,0.00 ,0.00 
2019/12/20,1420.00 ,3.00 ,1202.31 ,p,284.20 ,293.50 
2019/12/20,1440.00 ,1.00 ,1202.31 ,p,304.20 ,313.40 
