Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Call/Put
GOOG191220C00660000,2019-06-24 9:30AM EDT,660.00 ,467.70 ,481.00 ,489.30 ,0,-,-,1.00 ,0.00%,Call
GOOG191220C00680000,2019-06-24 9:30AM EDT,680.00 ,448.20 ,459.10 ,467.40 ,0,-,-,1.00 ,0.00%,Call
GOOG191220C00700000,2019-07-17 11:40AM EDT,700.00 ,456.58 ,479.40 ,488.50 ,0,-,5,6.00 ,0.00%,Call
GOOG191220C00740000,2019-10-08 11:05AM EDT,740.00 ,460.20 ,0.00 ,0.00 ,0,-,-,0.00 ,0.00%,Call
GOOG191220C00760000,2019-09-30 12:12AM EDT,760.00 ,472.70 ,454.40 ,463.50 ,0,-,-,1.00 ,59.78%,Call
GOOG191220C00800000,2019-09-23 10:58AM EDT,800.00 ,432.00 ,414.40 ,424.00 ,0,-,6,8.00 ,54.82%,Call
GOOG191220C00900000,2019-09-09 3:38PM EDT,900.00 ,310.00 ,316.90 ,325.50 ,0,-,1,6.00 ,51.95%,Call
GOOG191220C00920000,2019-06-25 11:06AM EDT,920.00 ,194.42 ,224.40 ,234.50 ,0,-,-,6.00 ,0.00%,Call
GOOG191220C00940000,2019-10-11 12:36PM EDT,940.00 ,286.84 ,278.20 ,287.50 ,109.84,62.06%,1,4.00 ,48.40%,Call
GOOG191220C00960000,2019-06-18 12:40PM EDT,960.00 ,180.50 ,203.60 ,211.20 ,0,-,2,1.00 ,0.00%,Call
GOOG191220C00980000,2019-10-08 3:56PM EDT,980.00 ,220.20 ,239.80 ,249.50 ,0,-,1,5.00 ,44.45%,Call
GOOG191220C01000000,2019-10-08 3:56PM EDT,1000.00 ,201.95 ,219.30 ,228.50 ,0,-,1,25.00 ,40.46%,Call
GOOG191220C01020000,2019-10-10 10:04AM EDT,1020.00 ,198.20 ,201.30 ,210.00 ,0,-,1,50.00 ,38.85%,Call
GOOG191220C01040000,2019-10-02 10:33AM EDT,1040.00 ,162.00 ,183.20 ,192.50 ,0,-,1,155.00 ,37.89%,Call
GOOG191220C01060000,2019-09-16 1:25PM EDT,1060.00 ,185.31 ,166.90 ,174.90 ,0,-,5,43.00 ,36.57%,Call
GOOG191220C01080000,2019-09-19 10:55AM EDT,1080.00 ,179.16 ,149.50 ,157.00 ,0,-,1,37.00 ,34.81%,Call
GOOG191220C01100000,2019-10-10 12:24PM EDT,1100.00 ,131.87 ,131.60 ,140.00 ,0,-,1,113.00 ,33.44%,Call
GOOG191220C01120000,2019-10-02 12:28PM EDT,1120.00 ,88.70 ,115.30 ,123.50 ,0,-,2,61.00 ,32.09%,Call
GOOG191220C01135000,2019-09-09 3:53PM EDT,1135.00 ,107.30 ,102.70 ,110.00 ,0,-,2,52.00 ,30.24%,Call
GOOG191220C01140000,2019-10-02 10:22AM EDT,1140.00 ,89.80 ,99.20 ,105.80 ,0,-,1,62.00 ,29.77%,Call
GOOG191220C01145000,2019-10-09 3:53PM EDT,1145.00 ,93.30 ,95.40 ,102.50 ,0,-,3,72.00 ,29.77%,Call
GOOG191220C01150000,2019-10-11 2:05PM EDT,1150.00 ,101.40 ,91.90 ,98.40 ,10.01,10.95%,2,108.00 ,29.31%,Call
GOOG191220C01155000,2019-10-08 1:10PM EDT,1155.00 ,83.70 ,88.10 ,95.20 ,0,-,1,53.00 ,29.31%,Call
GOOG191220C01160000,2019-10-08 1:10PM EDT,1160.00 ,80.40 ,86.10 ,91.90 ,0,-,1,106.00 ,29.22%,Call
GOOG191220C01165000,2019-09-30 3:49PM EDT,1165.00 ,74.30 ,80.00 ,87.80 ,0,-,14,57.00 ,28.68%,Call
GOOG191220C01170000,2019-10-11 3:44PM EDT,1170.00 ,85.40 ,75.90 ,84.50 ,13.4,18.61%,75,37.00 ,28.54%,Call
GOOG191220C01175000,2019-10-09 3:00PM EDT,1175.00 ,81.70 ,72.20 ,78.30 ,6.1,8.07%,1,122.00 ,26.91%,Call
GOOG191220C01180000,2019-10-09 11:56AM EDT,1180.00 ,70.40 ,72.40 ,78.40 ,0,-,10,73.00 ,28.41%,Call
GOOG191220C01185000,2019-10-09 3:00PM EDT,1185.00 ,69.40 ,69.10 ,71.50 ,0,-,1,16.00 ,26.40%,Call
GOOG191220C01190000,2019-10-10 12:08PM EDT,1190.00 ,72.20 ,62.60 ,70.10 ,6.7,10.23%,1,67.00 ,27.08%,Call
GOOG191220C01195000,2019-10-10 11:10AM EDT,1195.00 ,65.60 ,59.50 ,68.80 ,0,-,3,30.00 ,27.76%,Call
GOOG191220C01200000,2019-10-11 10:18AM EDT,1200.00 ,66.80 ,59.70 ,65.70 ,6.8,11.33%,4,270.00 ,27.53%,Call
GOOG191220C01205000,2019-10-09 3:28PM EDT,1205.00 ,57.00 ,55.90 ,59.00 ,0,-,2,78.00 ,25.55%,Call
GOOG191220C01210000,2019-10-07 11:45AM EDT,1210.00 ,51.75 ,53.80 ,59.50 ,0,-,1,38.00 ,26.98%,Call
GOOG191220C01215000,2019-10-10 12:34PM EDT,1215.00 ,58.20 ,52.10 ,54.00 ,8.15,16.28%,1,142.00 ,25.52%,Call
GOOG191220C01220000,2019-10-08 3:49PM EDT,1220.00 ,51.23 ,48.40 ,53.70 ,0,-,1,53.00 ,26.50%,Call
GOOG191220C01225000,2019-10-11 11:58AM EDT,1225.00 ,50.00 ,44.20 ,48.30 ,-1.08,-2.11%,4,80.00 ,25.02%,Call
GOOG191220C01230000,2019-10-09 12:11PM EDT,1230.00 ,43.00 ,43.20 ,45.50 ,0,-,4,121.00 ,24.74%,Call
GOOG191220C01235000,2019-10-11 11:37AM EDT,1235.00 ,48.50 ,40.80 ,43.00 ,9.1,23.10%,1,17.00 ,24.57%,Call
GOOG191220C01240000,2019-10-09 1:38PM EDT,1240.00 ,39.65 ,37.00 ,42.70 ,0,-,1,103.00 ,25.41%,Call
GOOG191220C01245000,2019-10-07 2:31PM EDT,1245.00 ,39.30 ,35.30 ,38.40 ,0,-,2,63.00 ,24.30%,Call
GOOG191220C01250000,2019-10-11 3:42PM EDT,1250.00 ,38.55 ,33.70 ,36.10 ,3.67,10.52%,6,903.00 ,24.11%,Call
GOOG191220C01255000,2019-10-09 9:53AM EDT,1255.00 ,31.10 ,30.60 ,34.10 ,0,-,1,41.00 ,24.03%,Call
GOOG191220C01260000,2019-10-09 12:41PM EDT,1260.00 ,30.22 ,29.10 ,33.80 ,0,-,19,62.00 ,24.76%,Call
GOOG191220C01265000,2019-10-09 12:52PM EDT,1265.00 ,27.80 ,26.20 ,31.90 ,0,-,2,30.00 ,24.66%,Call
GOOG191220C01270000,2019-10-11 11:35AM EDT,1270.00 ,29.00 ,25.60 ,30.00 ,2.2,8.21%,5,65.00 ,24.53%,Call
GOOG191220C01275000,2019-10-10 11:38AM EDT,1275.00 ,26.82 ,23.70 ,28.20 ,0,-,1,62.00 ,24.42%,Call
GOOG191220C01280000,2019-10-09 1:13PM EDT,1280.00 ,22.50 ,22.10 ,26.70 ,0,-,3,136.00 ,24.42%,Call
GOOG191220C01285000,2019-10-08 12:44PM EDT,1285.00 ,20.50 ,19.50 ,24.10 ,0,-,1,16.00 ,23.80%,Call
GOOG191220C01290000,2019-10-11 9:47AM EDT,1290.00 ,23.94 ,18.00 ,22.90 ,3.4,16.55%,4,81.00 ,23.89%,Call
GOOG191220C01295000,2019-10-09 3:56PM EDT,1295.00 ,17.08 ,16.50 ,21.00 ,0,-,5,65.00 ,23.55%,Call
GOOG191220C01300000,2019-10-11 2:10PM EDT,1300.00 ,19.70 ,15.00 ,19.80 ,1.91,10.74%,17,1541.00 ,23.57%,Call
GOOG191220C01305000,2019-10-09 1:52PM EDT,1305.00 ,17.20 ,14.00 ,18.60 ,0,-,2,16.00 ,23.55%,Call
GOOG191220C01310000,2019-10-10 3:04PM EDT,1310.00 ,15.32 ,12.70 ,15.80 ,0,-,20,65.00 ,22.53%,Call
GOOG191220C01315000,2019-10-11 2:53PM EDT,1315.00 ,15.50 ,12.90 ,16.20 ,2.89,22.92%,1,17.00 ,23.41%,Call
GOOG191220C01320000,2019-10-10 2:26PM EDT,1320.00 ,12.64 ,11.50 ,13.30 ,0,-,4,133.00 ,22.19%,Call
GOOG191220C01325000,2019-10-09 1:52PM EDT,1325.00 ,13.80 ,10.50 ,12.50 ,2.2,18.97%,5,28.00 ,22.25%,Call
GOOG191220C01330000,2019-10-03 12:48PM EDT,1330.00 ,11.20 ,8.20 ,11.50 ,0,-,7,68.00 ,22.14%,Call
GOOG191220C01335000,2019-10-02 12:45PM EDT,1335.00 ,9.72 ,9.20 ,10.40 ,0,-,2,12.00 ,21.91%,Call
GOOG191220C01340000,2019-10-11 12:06PM EDT,1340.00 ,10.78 ,8.30 ,9.70 ,0.08,0.75%,2,73.00 ,21.93%,Call
GOOG191220C01360000,2019-10-11 3:17PM EDT,1360.00 ,6.96 ,5.50 ,6.90 ,0.06,0.87%,4,2487.00 ,21.67%,Call
GOOG191220C01380000,2019-10-10 3:14PM EDT,1380.00 ,4.70 ,3.50 ,4.90 ,0,-,8,132.00 ,21.54%,Call
GOOG191220C01400000,2019-10-11 3:54PM EDT,1400.00 ,3.10 ,2.20 ,3.30 ,-0.18,-5.49%,5,754.00 ,21.25%,Call
GOOG191220C01420000,2019-10-02 10:04AM EDT,1420.00 ,2.58 ,1.35 ,2.40 ,0,-,1,29.00 ,21.41%,Call
GOOG191220C01440000,2019-10-09 11:55AM EDT,1440.00 ,1.80 ,0.80 ,1.80 ,0,-,1,45.00 ,21.71%,Call
GOOG191220C01460000,2019-09-30 1:47PM EDT,1460.00 ,1.55 ,0.50 ,3.10 ,0,-,1,32.00 ,25.64%,Call
GOOG191220C01480000,2019-09-30 1:50PM EDT,1480.00 ,1.30 ,0.35 ,1.15 ,0,-,4,43.00 ,22.74%,Call
GOOG191220C01500000,2019-09-30 1:50PM EDT,1500.00 ,0.80 ,0.25 ,1.00 ,0,-,1,106.00 ,23.51%,Call
GOOG191220C01520000,2019-10-11 2:19PM EDT,1520.00 ,0.49 ,0.40 ,0.95 ,-0.26,-34.67%,30,6.00 ,24.54%,Call
GOOG191220C01540000,2019-09-05 10:35AM EDT,1540.00 ,0.90 ,0.10 ,1.25 ,0,-,3,0.00 ,26.82%,Call
GOOG191220C01560000,2019-10-01 12:46PM EDT,1560.00 ,0.80 ,0.00 ,1.60 ,0,-,1,8.00 ,29.13%,Call
GOOG191220C01570000,2019-07-09 3:39PM EDT,1570.00 ,1.65 ,0.80 ,1.40 ,0,-,-,1.00 ,29.12%,Call
GOOG191220C01580000,2019-07-09 3:39PM EDT,1580.00 ,0.65 ,0.65 ,1.30 ,0,-,-,0.00 ,29.38%,Call
GOOG191220C01590000,2019-07-26 9:30AM EDT,1590.00 ,1.40 ,0.00 ,1.20 ,0,-,1,0.00 ,29.61%,Call
GOOG191220C01600000,2019-08-16 1:12PM EDT,1600.00 ,0.63 ,0.00 ,0.75 ,0,-,2,8.00 ,28.25%,Call
GOOG191220C01620000,2019-06-17 12:09AM EDT,1620.00 ,0.75 ,0.50 ,0.75 ,0,-,-,1.00 ,29.33%,Call
GOOG191220C01700000,2019-07-29 10:52AM EDT,1700.00 ,0.40 ,0.00 ,5.00 ,0,-,2,0.00 ,45.10%,Call
GOOG191220C01720000,2019-06-07 10:55AM EDT,1720.00 ,0.93 ,0.00 ,0.65 ,0,-,-,0.00 ,33.83%,Call
GOOG191220C01800000,2019-07-29 3:51PM EDT,1800.00 ,0.23 ,0.00 ,5.00 ,0,-,1,0.00 ,50.97%,Call
GOOG191220C01820000,2019-07-26 11:07AM EDT,1820.00 ,0.25 ,0.00 ,0.70 ,0,-,150,68.00 ,38.83%,Call
GOOG191220C01840000,2019-08-09 1:13PM EDT,1840.00 ,0.06 ,0.00 ,0.00 ,0,-,1,0.00 ,12.50%,Call
GOOG191220P00640000,2019-10-03 3:47PM EDT,640.00 ,0.10 ,0.05 ,0.45 ,0,-,2,99.00 ,55.32%,Put
GOOG191220P00660000,2019-09-20 2:52PM EDT,660.00 ,0.21 ,0.00 ,0.45 ,0,-,2,2.00 ,52.30%,Put
GOOG191220P00700000,2019-08-23 2:52PM EDT,700.00 ,1.10 ,0.00 ,0.55 ,0,-,10,57.00 ,52.61%,Put
GOOG191220P00720000,2019-08-05 2:02PM EDT,720.00 ,1.92 ,0.25 ,0.80 ,0,-,10,0.00 ,52.58%,Put
GOOG191220P00740000,2019-06-24 9:30AM EDT,740.00 ,2.30 ,1.50 ,1.95 ,0,-,-,5.00 ,55.84%,Put
GOOG191220P00760000,2019-08-30 10:07AM EDT,760.00 ,1.15 ,0.50 ,1.30 ,0,-,1,0.00 ,50.96%,Put
GOOG191220P00780000,2019-10-02 12:28PM EDT,780.00 ,1.25 ,0.05 ,1.95 ,0,-,1,95.00 ,51.55%,Put
GOOG191220P00800000,2019-10-11 10:48AM EDT,800.00 ,0.50 ,0.10 ,2.00 ,-0.5,-50.00%,2,180.00 ,49.17%,Put
GOOG191220P00820000,2019-08-26 9:35AM EDT,820.00 ,3.76 ,0.30 ,1.25 ,0,-,1,0.00 ,43.34%,Put
GOOG191220P00840000,2019-09-25 1:04PM EDT,840.00 ,1.20 ,0.50 ,1.10 ,0,-,11,42.00 ,40.22%,Put
GOOG191220P00860000,2019-10-07 11:51AM EDT,860.00 ,1.32 ,0.65 ,1.40 ,0,-,2,68.00 ,39.37%,Put
GOOG191220P00865000,2019-10-02 10:00AM EDT,865.00 ,2.55 ,0.75 ,1.45 ,0,-,-,2.00 ,39.01%,Put
GOOG191220P00880000,2019-10-11 2:02PM EDT,880.00 ,1.05 ,1.05 ,1.55 ,-1.85,-63.79%,2,65.00 ,37.68%,Put
GOOG191220P00890000,2019-10-04 10:11AM EDT,890.00 ,2.55 ,1.20 ,1.70 ,0,-,-,1.00 ,37.10%,Put
GOOG191220P00895000,2019-10-11 2:52PM EDT,895.00 ,1.25 ,1.30 ,1.75 ,-1.22,-49.39%,20,30.00 ,36.69%,Put
GOOG191220P00900000,2019-10-04 10:33AM EDT,900.00 ,2.94 ,1.40 ,1.85 ,0,-,1,208.00 ,36.46%,Put
GOOG191220P00910000,2019-10-11 2:47PM EDT,910.00 ,1.65 ,1.60 ,2.05 ,-1.35,-45.00%,20,21.00 ,35.94%,Put
GOOG191220P00920000,2019-10-03 12:56PM EDT,920.00 ,4.50 ,1.75 ,2.30 ,0,-,13,218.00 ,35.50%,Put
GOOG191220P00930000,2019-10-11 9:30AM EDT,930.00 ,2.50 ,2.05 ,2.55 ,-2.9,-53.70%,1,4.00 ,34.99%,Put
GOOG191220P00940000,2019-10-04 11:40AM EDT,940.00 ,4.05 ,2.25 ,2.85 ,0,-,6,93.00 ,34.54%,Put
GOOG191220P00950000,2019-10-02 1:44PM EDT,950.00 ,7.50 ,2.55 ,2.90 ,0,-,1,14.00 ,33.47%,Put
GOOG191220P00955000,2019-10-07 12:05AM EDT,955.00 ,7.70 ,2.80 ,4.90 ,0,-,-,1.00 ,36.70%,Put
GOOG191220P00960000,2019-10-09 1:13PM EDT,960.00 ,2.95 ,2.95 ,3.50 ,-0.95,-24.36%,5,92.00 ,33.54%,Put
GOOG191220P00970000,2019-10-02 10:04AM EDT,970.00 ,7.89 ,3.20 ,3.60 ,0,-,1,2.00 ,32.52%,Put
GOOG191220P00975000,2019-10-11 10:48AM EDT,975.00 ,3.59 ,3.50 ,4.10 ,-1.83,-33.76%,1,2.00 ,32.82%,Put
GOOG191220P00980000,2019-10-08 3:57PM EDT,980.00 ,6.89 ,3.70 ,4.30 ,0,-,2,217.00 ,32.55%,Put
GOOG191220P00990000,2019-10-09 10:13AM EDT,990.00 ,6.40 ,4.20 ,4.70 ,0,-,3,10.00 ,31.96%,Put
GOOG191220P00995000,2019-10-03 12:58PM EDT,995.00 ,9.70 ,4.40 ,5.00 ,0,-,1,6.00 ,31.79%,Put
GOOG191220P01000000,2019-10-11 2:07PM EDT,1000.00 ,4.40 ,4.50 ,5.00 ,-2.34,-34.72%,3,1696.00 ,31.16%,Put
GOOG191220P01020000,2019-10-08 3:41PM EDT,1020.00 ,8.62 ,5.80 ,6.60 ,0,-,3,196.00 ,30.74%,Put
GOOG191220P01040000,2019-10-11 11:35AM EDT,1040.00 ,6.75 ,7.30 ,8.00 ,-1.75,-20.59%,2,648.00 ,29.69%,Put
GOOG191220P01060000,2019-10-09 1:07PM EDT,1060.00 ,12.90 ,9.20 ,10.40 ,0,-,11,306.00 ,29.28%,Put
GOOG191220P01080000,2019-10-09 10:52AM EDT,1080.00 ,10.90 ,11.50 ,12.30 ,-4.1,-27.33%,4,399.00 ,28.03%,Put
GOOG191220P01100000,2019-10-10 3:43PM EDT,1100.00 ,13.00 ,14.30 ,15.30 ,-4.7,-26.55%,1,728.00 ,27.28%,Put
GOOG191220P01120000,2019-10-09 12:50PM EDT,1120.00 ,23.80 ,15.20 ,18.90 ,0,-,1,128.00 ,26.52%,Put
GOOG191220P01135000,2019-10-09 10:46AM EDT,1135.00 ,28.00 ,20.90 ,23.30 ,0,-,6,54.00 ,26.67%,Put
GOOG191220P01140000,2019-10-11 3:06PM EDT,1140.00 ,20.40 ,21.90 ,23.20 ,-9.2,-31.08%,69,214.00 ,25.74%,Put
GOOG191220P01145000,2019-10-09 3:07PM EDT,1145.00 ,28.84 ,22.70 ,24.60 ,0,-,11,36.00 ,25.66%,Put
GOOG191220P01150000,2019-10-08 10:32AM EDT,1150.00 ,36.90 ,24.70 ,25.80 ,0,-,5,140.00 ,25.43%,Put
GOOG191220P01155000,2019-10-11 12:12PM EDT,1155.00 ,23.94 ,26.10 ,27.00 ,-4.76,-16.59%,3,92.00 ,25.17%,Put
GOOG191220P01160000,2019-10-10 3:17PM EDT,1160.00 ,32.56 ,27.30 ,29.90 ,0,-,2,81.00 ,25.79%,Put
GOOG191220P01165000,2019-10-07 2:00PM EDT,1165.00 ,31.70 ,29.00 ,30.90 ,0,-,7,26.00 ,25.35%,Put
GOOG191220P01170000,2019-10-11 11:32AM EDT,1170.00 ,27.30 ,30.10 ,31.30 ,-9,-24.79%,33,154.00 ,24.59%,Put
GOOG191220P01175000,2019-10-09 12:54PM EDT,1175.00 ,29.50 ,30.20 ,35.50 ,-11,-27.16%,1,40.00 ,25.73%,Put
GOOG191220P01180000,2019-10-10 2:37PM EDT,1180.00 ,31.00 ,33.20 ,34.70 ,-8.7,-21.91%,1,84.00 ,24.30%,Put
GOOG191220P01185000,2019-10-08 10:27AM EDT,1185.00 ,50.10 ,35.40 ,37.00 ,0,-,9,23.00 ,24.41%,Put
GOOG191220P01190000,2019-10-08 2:13PM EDT,1190.00 ,49.00 ,37.00 ,40.90 ,0,-,101,319.00 ,25.26%,Put
GOOG191220P01195000,2019-10-08 10:30AM EDT,1195.00 ,51.01 ,38.80 ,40.30 ,0,-,2,8.00 ,23.87%,Put
GOOG191220P01200000,2019-10-10 1:45PM EDT,1200.00 ,39.20 ,40.70 ,42.00 ,-7.9,-16.77%,11,90.00 ,23.57%,Put
GOOG191220P01205000,2019-10-10 11:30AM EDT,1205.00 ,41.10 ,43.20 ,45.30 ,-6.08,-12.89%,1,27.00 ,24.00%,Put
GOOG191220P01210000,2019-10-11 11:51AM EDT,1210.00 ,41.00 ,45.10 ,46.70 ,-8.33,-16.89%,1,162.00 ,23.49%,Put
GOOG191220P01215000,2019-10-10 2:57PM EDT,1215.00 ,54.04 ,47.20 ,49.60 ,0,-,2,99.00 ,23.65%,Put
GOOG191220P01220000,2019-10-11 3:35PM EDT,1220.00 ,45.80 ,49.50 ,51.60 ,-10.35,-18.43%,12,90.00 ,23.35%,Put
GOOG191220P01225000,2019-10-11 9:44AM EDT,1225.00 ,48.23 ,52.10 ,55.10 ,-8.77,-15.39%,3,42.00 ,23.73%,Put
GOOG191220P01230000,2019-10-04 3:55PM EDT,1230.00 ,50.10 ,54.60 ,56.90 ,-8.6,-14.65%,9,41.00 ,23.25%,Put
GOOG191220P01235000,2019-10-02 11:56AM EDT,1235.00 ,85.30 ,57.10 ,59.60 ,0,-,1,35.00 ,23.17%,Put
GOOG191220P01240000,2019-10-07 1:48PM EDT,1240.00 ,62.50 ,59.30 ,61.60 ,0,-,1,46.00 ,22.71%,Put
GOOG191220P01245000,2019-10-02 10:10AM EDT,1245.00 ,88.80 ,61.70 ,66.20 ,0,-,2,26.00 ,23.47%,Put
GOOG191220P01250000,2019-10-09 2:36PM EDT,1250.00 ,58.80 ,64.50 ,70.80 ,-16.2,-21.60%,1,18.00 ,24.20%,Put
GOOG191220P01255000,2019-09-17 10:00AM EDT,1255.00 ,66.10 ,67.40 ,69.30 ,0,-,2,26.00 ,21.90%,Put
GOOG191220P01260000,2019-09-26 11:26AM EDT,1260.00 ,67.50 ,70.40 ,74.30 ,0,-,4,26.00 ,22.76%,Put
GOOG191220P01265000,2019-09-26 3:55PM EDT,1265.00 ,65.60 ,72.90 ,75.20 ,0,-,2,9.00 ,21.52%,Put
GOOG191220P01270000,2019-10-04 3:14PM EDT,1270.00 ,86.75 ,76.60 ,78.20 ,0,-,1,11.00 ,21.29%,Put
GOOG191220P01275000,2019-09-09 10:12AM EDT,1275.00 ,88.20 ,79.00 ,81.80 ,0,-,1,2.00 ,21.33%,Put
GOOG191220P01280000,2019-09-20 3:49PM EDT,1280.00 ,80.30 ,79.90 ,85.80 ,2.2,2.82%,1,6.00 ,21.55%,Put
GOOG191220P01285000,2019-09-09 3:03PM EDT,1285.00 ,107.70 ,86.30 ,88.50 ,0,-,1,2.00 ,21.01%,Put
GOOG191220P01290000,2019-08-26 3:50PM EDT,1290.00 ,142.20 ,73.30 ,76.30 ,0,-,1,6.00 ,9.55%,Put
GOOG191220P01295000,2019-09-19 11:05AM EDT,1295.00 ,79.30 ,94.20 ,97.10 ,0,-,1,7.00 ,21.61%,Put
GOOG191220P01300000,2019-10-11 12:22PM EDT,1300.00 ,91.80 ,97.20 ,101.80 ,-0.1,-0.11%,1,11.00 ,22.11%,Put
GOOG191220P01305000,2019-09-24 3:54PM EDT,1305.00 ,104.90 ,100.10 ,102.70 ,0,-,1,3.00 ,20.26%,Put
GOOG191220P01310000,2019-08-09 10:52AM EDT,1310.00 ,135.10 ,124.60 ,127.10 ,0,-,1,0.00 ,31.96%,Put
GOOG191220P01315000,2019-08-30 12:14PM EDT,1315.00 ,141.60 ,150.80 ,161.00 ,0,-,1,0.00 ,47.37%,Put
GOOG191220P01320000,2019-08-21 2:05PM EDT,1320.00 ,140.80 ,101.50 ,109.50 ,0,-,1,5.00 ,15.90%,Put
GOOG191220P01325000,2019-08-21 2:05PM EDT,1325.00 ,144.70 ,106.60 ,112.80 ,0,-,1,5.00 ,14.65%,Put
GOOG191220P01330000,2019-06-07 10:57AM EDT,1330.00 ,172.10 ,206.00 ,214.00 ,0,-,1,9.00 ,66.24%,Put
GOOG191220P01335000,2019-07-31 3:27PM EDT,1335.00 ,127.00 ,151.20 ,159.60 ,0,-,3,0.00 ,39.46%,Put
GOOG191220P01340000,2019-07-30 9:59AM EDT,1340.00 ,127.60 ,155.20 ,164.50 ,0,-,1,1.00 ,40.09%,Put
GOOG191220P01360000,2019-10-08 3:56PM EDT,1360.00 ,171.55 ,142.00 ,150.70 ,0,-,1,1.00 ,21.00%,Put
GOOG191220P01380000,2019-10-08 3:56PM EDT,1380.00 ,190.23 ,161.00 ,170.00 ,0,-,1,1.00 ,22.17%,Put
GOOG191220P01400000,2019-10-02 3:33PM EDT,1400.00 ,222.78 ,180.50 ,188.80 ,0,-,1,1.00 ,22.55%,Put
GOOG191220P01420000,2019-06-07 10:57AM EDT,1420.00 ,179.00 ,284.20 ,293.50 ,0,-,-,3.00 ,73.55%,Put
GOOG191220P01440000,2019-06-07 10:57AM EDT,1440.00 ,185.80 ,304.20 ,313.40 ,0,-,2,1.00 ,76.07%,Put