Date,Adj Close
2020/5/28,53.178936
2020/5/29,53.327702
2020/6/1,52.623543
2020/6/2,52.841728
2020/6/3,53.050007
2020/6/4,52.415268
2020/6/5,53.535973
2020/6/8,54.646759
2020/6/9,53.734329
2020/6/10,53.664906
2020/6/11,50.887939
2020/6/12,51.433411
2020/6/15,52.811977
2020/6/16,54.140957
2020/6/17,51.09621
2020/6/18,53.24836
2020/6/19,53.952518
2020/6/22,54.666595
2020/6/23,54.736019
2020/6/24,53.992191
2020/6/25,54.081451
2020/6/26,53.734329
2020/6/29,54.309559
2020/6/30,54.815361
2020/7/1,55.033554
2020/7/2,55.479851
2020/7/6,56.134418
2020/7/7,55.846809
2020/7/8,56.193928
2020/7/9,57.05677
2020/7/10,56.917923
2020/7/13,56.54105
2020/7/14,56.969318
2020/7/15,56.391655
2020/7/16,55.594883
2020/7/17,54.678596
2020/7/20,55.176579
2020/7/21,55.684521
2020/7/22,55.784115
2020/7/23,55.535122
2020/7/24,55.425571
2020/7/27,55.116817
2020/7/28,55.126778
2020/7/29,55.475368
2020/7/30,55.027184
2020/7/31,55.226376
2020/8/3,55.754238
2020/8/4,55.774158
2020/8/5,55.276173
2020/8/6,55.05706
2020/8/7,55.007263
2020/8/10,54.71843
2020/8/11,54.051136
2020/8/12,53.951534
2020/8/13,53.802143
2020/8/14,53.981419
2020/8/17,53.772266
2020/8/18,54.957466
2020/8/19,55.973351
2020/8/20,55.03714
2020/8/21,54.967422
2020/8/24,55.784115
2020/8/25,55.863792
2020/8/26,57.258148
2020/8/27,56.949398
2020/8/28,57.646576
2020/8/31,56.989239
2020/9/1,57.427464
2020/9/2,58.791935
2020/9/3,56.86972
2020/9/4,55.505245
2020/9/8,55.096901
2020/9/9,56.720325
2020/9/10,57.098797
2020/9/11,56.770123
2020/9/14,59.220203
2020/9/15,60.694233
2020/9/16,60.186291
2020/9/17,59.937302
2020/9/18,59.509033
2020/9/21,60.574718
2020/9/22,60.375523
2020/9/23,58.722218
2020/9/24,59.060848
2020/9/25,59.55883
2020/9/28,59.339722
2020/9/29,59.230164
2020/9/30,59.459236
2020/10/1,59.439316
2020/10/2,58.592747
2020/10/5,59.319801
2020/10/6,59.27
2020/10/7,60.59
2020/10/8,60.889999
2020/10/9,61.150002
2020/10/12,61.459999
2020/10/13,60.970001
2020/10/14,60.959999
2020/10/15,60.52
2020/10/16,60.290001